                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.76498,                0.57205,                0.98108,                0.93037,                0.85839,                0.92237,                0.77982,                0.65864,                0.44256,                  0.893,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.76933,                0.59379,                 1.0007,                0.93482,                0.85464,                0.92145,                0.78438,                0.65077,                 0.4397,                0.89057,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.75463,                0.56361,                0.98577,                0.93301,                0.85193,                0.92055,                0.78819,                0.64362,                0.43636,                 0.8884,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.70925,                 0.5501,                0.97904,                 0.9426,                0.85081,                0.92511,                0.78891,                0.64199,                0.43123,                 0.8869,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.72008,                0.53649,                0.97054,                 0.9262,                0.86152,                0.92484,                0.78632,                0.64488,                0.43059,                0.88708,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.74307,                0.56873,                0.97915,                0.91821,                0.87238,                0.92786,                0.78829,                0.64103,                0.42987,                0.88517,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.73703,                0.56668,                0.96655,                0.92341,                0.87216,                0.92944,                0.79291,                0.63406,                0.42657,                0.88239,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.75649,                0.56759,                0.96901,                0.91947,                 0.8798,                0.93287,                 0.7953,                0.62939,                0.42398,                0.87984,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.70462,                0.52292,                0.95604,                0.87167,                0.90655,                0.93151,                0.79377,                0.62276,                0.42088,                 0.8773,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.69842,                0.52363,                0.95713,                0.87782,                 0.8958,                   0.93,                0.79482,                0.61561,                0.41549,                0.87517,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.70969,                 0.5336,                0.97039,                0.89278,                0.89856,                0.93297,                0.79813,                 0.6114,                0.40855,                0.87364,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.73196,                0.53868,                0.96605,                0.88766,                0.89847,                  0.932,                0.79711,                 0.6118,                0.40462,                0.87332,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.72662,                0.55305,                0.98314,                0.88266,                0.89442,                0.93081,                0.79834,                0.60928,                0.40137,                0.87237,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.71141,                0.52863,                0.95628,                0.90625,                0.88589,                0.93191,                0.80216,                0.60596,                0.39803,                0.87008,             6.4807e-05,             6.4807e-05,             6.4807e-05
